MasterID	Mag	Magerr	RA	Dec	MJD	Blend
3.03502E+12	15.77	0.1	49.52695	-34.44339	53604.72263	0
3.03502E+12	15.78	0.1	49.52694	-34.44335	53604.73222	0
3.03502E+12	15.76	0.1	49.52697	-34.44334	53604.7416	0
3.03502E+12	15.76	0.1	49.52695	-34.44341	53604.75131	0
3.03502E+12	15.82	0.09	49.52706	-34.44334	53712.62704	0
3.03502E+12	15.8	0.09	49.52704	-34.44337	53712.64008	0
3.03502E+12	15.81	0.09	49.52706	-34.44338	53712.6531	0
3.03502E+12	15.84	0.09	49.52705	-34.44333	53712.66615	0
3.03502E+12	15.88	0.1	49.52701	-34.44339	53727.48997	0
3.03502E+12	15.83	0.1	49.52704	-34.44337	53727.49851	0
3.03502E+12	15.85	0.09	49.527	-34.44337	53728.54484	0
3.03502E+12	15.75	0.09	49.52703	-34.44338	53728.55567	0
3.03502E+12	15.8	0.09	49.52703	-34.44336	53728.56686	0
3.03502E+12	15.78	0.09	49.52702	-34.44336	53728.57769	0
3.03502E+12	15.72	0.1	49.52691	-34.44343	53554.77277	0
3.03502E+12	15.74	0.1	49.52699	-34.44336	53554.77972	0
3.03502E+12	15.76	0.1	49.52698	-34.4434	53554.78671	0
3.03502E+12	15.67	0.09	49.52702	-34.44337	53554.79384	0
3.03502E+12	15.74	0.1	49.52701	-34.44338	53575.79125	0
3.03502E+12	15.72	0.09	49.52696	-34.44336	53575.79555	0
3.03502E+12	15.79	0.1	49.52703	-34.44336	53575.79984	0
3.03502E+12	15.75	0.1	49.52698	-34.44337	53575.80413	0
3.03502E+12	15.84	0.1	49.52706	-34.44336	53691.64484	0
3.03502E+12	15.83	0.1	49.52707	-34.44336	53691.65345	0
3.03502E+12	15.82	0.1	49.52706	-34.44337	53691.66202	0
3.03502E+12	15.79	0.1	49.5271	-34.44337	53691.67061	0
3.03502E+12	15.79	0.11	49.52698	-34.44335	53652.61899	0
3.03502E+12	15.78	0.11	49.52705	-34.44335	53652.62843	0
3.03502E+12	15.75	0.11	49.52701	-34.44336	53652.63854	0
3.03502E+12	15.69	0.11	49.52703	-34.44335	53652.64877	0
3.03502E+12	15.8	0.11	49.52697	-34.44331	53670.63259	0
3.03502E+12	15.85	0.11	49.52701	-34.44334	53670.64252	0
3.03502E+12	15.85	0.11	49.52703	-34.44335	53670.65239	0
